atoms;weight;tnumber;id
305220;136.15;pT3;7enp
408120;87.6;pT3;7eo0
204120;110.41;3;7eoy
272160;147.21;4;7ep6
78720;28.37;1;7epp
62520;1067.65;1;7eq9
776880;189.11;3;7esd
2049780;506.92;9;7f2p
1488300;355.72;9;7f38
264960;142.46;4;7fdj
401040;111.3;pT3;7fei
401460;107.38;pT3;7fej
12047880;3221.22;16;7fj1
11745540;3227.99;16;7fj3
247860;58.44;1;7jot
682740;376.93;4;7jw1
128460;31.49;1;7k5w
707640;2648.55;3;7k6v
895260;214.18;3;7kcr
249480;58.95;1;7kfr
238560;169.99;3;7kjp
1442700;366.36;7l;7kmx
1845840;499.37;4;7ko8
246720;80.37;1;7kp3
288600;102.55;1;7kpn
129120;30.97;1;7kq5
784020;193.39;3;7kv8
771060;186.78;3;7kv9
770100;186.78;3;7kva
765180;186.77;3;7kvb
1349460;336.59;7d;7kzf
243240;3455.48;1;7l0u
243240;3455.48;1;7l0v
242760;3447;1;7l0w
246480;3501.84;1;7l0x
245760;3489.95;1;7l0y
801240;217.33;3;7l30
248040;3514;1;7l5q
248040;3533.87;1;7l5u
247920;3532.85;1;7l6a
247920;3512.97;1;7l6b
247380;3523.61;1;7l6e
247380;3503.73;1;7l6f
248220;3533.2;1;7l6h
248220;3513.33;1;7l6i
777300;191.1;3;7lcg
777300;191.1;3;7lch
125700;30.1;1;7lii
129060;30.88;1;7lij
129180;30.91;1;7lik
128520;30.92;1;7lil
125820;30.12;1;7lim
127260;30.47;1;7lis
125220;29.98;1;7lit
243240;3452.89;1;7lnk
248040;3529.36;1;7ltm
624780;148.07;1;7m12
366780;84.94;1;7m3l
254280;64.71;1;7m3m
360240;89.79;1;7m3n
254280;64.71;1;7m3o
536880;141.16;4;7mh2
679500;176.28;3;7mry
205620;53.34;3;7msf
247860;3508.46;1;7mt0
247860;3508.46;1;7mtg
247860;3508.46;1;7mtp
247860;3449.99;1;7mtw
247860;3519.27;1;7mtz
128460;30.83;1;7mu1
247860;3519.27;1;7mua
1979280;472.23;4;7n1h
1908240;454.82;4;7n1i
707160;176.1;3;7n6y
283200;176.1;3;7n7f
247800;3514.41;1;7na6
335280;95.25;2;7ncr
104340;24.77;1;7no0
155520;74.32;3;7no1
244440;94.54;pT3;7nul
245400;94.09;pT3;7num
386340;112.07;pT3;7nun
285600;87.3;pT3;7nuo
386340;97.36;pT3;7nuq
283620;84.53;4;7oco
283860;84.6;4;7ocw
283860;84.58;4;7od4
282300;87.59;4;7od6
280200;85.77;4;7od7
282060;88.21;4;7od8
121560;28.84;1;7odw
282240;88.29;4;7oen
281580;88.13;4;7oev
281580;89.21;4;7oew
391740;98.89;pT3;7oj7
378120;95.49;pT3;7opx
94980;48.78;1;7ott
214980;3702.36;3;7pe1
214020;3702.36;3;7pe2
95520;2926.65;1;7q5r
6068280;1821.97;pT25;7rd1
246720;4932.94;1;7rk8
247500;4932.77;1;7rk9
247260;3537.71;1;7rl1
248580;4921.88;1;7rwl
248580;4921.88;1;7rwt
979740;176.35;4;7rwz
1377180;345.74;7d;7ryj
247680;3516.51;1;7s1w
381840;100.52;3;7s20
122460;33.51;1;7s21
394080;104.58;3;7s2t
399120;101.88;3;7s4q
6276060;1778.76;pT25;7s78
1908240;455.7;4;7sfu
2542200;633.52;4;7sfv
231600;148.08;3;7sqy
214620;62.26;3;7sqz
6340320;1784.19;pT25;7tau
362700;91.86;pT3;7thx
245460;67.97;1;7u94
242520;3433.03;1;7u95
242520;3433.03;1;7u96
242520;3433.03;1;7u97
785880;189.11;3;7v3f
1003560;239.83;3;7v3g
1112400;265.61;3;7v3h
1106700;267.6;7;7vi9
1459500;428.11;7;7vii
2478420;613.5;13;7vrn
2462520;611.38;13;7vrp
382500;94.43;pT3;7vxh
436200;119.28;pT3;7vxz
381720;94.39;pT3;7vy0
439380;105.61;pT3;7vy5
437520;123.03;pT3;7vy6
429840;117.95;pT3;7vyk
419580;119;pT3;7vyl
429720;131.55;pT3;7vym
440760;118.16;pT3;7w14
381660;93.86;pT3;7w17
247920;63.76;1;7wjw
292080;3475.13;1;7wjx
328080;79.28;pT3;7wl3
251040;59.21;1;7wqo
293460;3557.7;1;7wqp
333360;80.06;pT3;7xb2
447060;126.85;pT3;7xxa
374220;113.47;pT3;7xxg
373440;87.51;pT3;7xxj
777960;191.87;3;7z51
73980;59.13;1;amv
3218160;517.6;NA;hrtvc1
2505060;518.93;13;hrtvc2
254280;1122.62;pT3;rcmv
