atoms;resolution;tnumber;id
2049780;3;9;7f2p
1488300;3.35;9;7f38
264960;4.4;4;7fdj
401040;3.91;pT3;7fei
401460;3.91;pT3;7fej
12047880;4.43;16;7fj1
11745540;4.53;16;7fj3
247860;2.7;1;7jot
682740;4.19;4;7jw1
128460;2.87;1;7k5w
707640;3;3;7k6v
895260;4;3;7kcr
249480;1.56;1;7kfr
238560;3.86;3;7kjp
1442700;3.2;7l;7kmx
1845840;4.4;4;7ko8
246720;2.1;1;7kp3
288600;2.5;1;7kpn
129120;2;1;7kq5
784020;2.5;3;7kv8
771060;2.9;3;7kv9
770100;3.1;3;7kva
765180;3.7;3;7kvb
1349460;3.1;7d;7kzf
243240;2.74;1;7l0u
243240;2.71;1;7l0v
242760;2.74;1;7l0w
246480;2.51;1;7l0x
245760;2.54;1;7l0y
801240;4.4;3;7l30
248040;2.96;1;7l5q
248040;3.16;1;7l5u
247920;2.67;1;7l6a
247920;2.54;1;7l6b
247380;3.15;1;7l6e
247380;2.86;1;7l6f
248220;3;1;7l6h
248220;2.76;1;7l6i
777300;2.42;3;7lcg
777300;2.35;3;7lch
238320;5.6;4;7lge
125700;3.55;1;7lii
129060;2.84;1;7lij
129180;2.91;1;7lik
128520;2.84;1;7lil
125820;2.75;1;7lim
127260;2.96;1;7lis
125220;2.53;1;7lit
243240;2.76;1;7lnk
248040;2.49;1;7ltm
624780;4;1;7m12
366780;3.2;1;7m3l
254280;2.26;1;7m3m
360240;2.4;1;7m3n
254280;2.4;1;7m3o
536880;3.57;4;7mh2
679500;3.8;3;7mry
205620;2.8;3;7msf
247860;2.82;1;7mt0
247860;2.67;1;7mtg
247860;2.79;1;7mtp
247860;2.99;1;7mtw
247860;2.43;1;7mtz
128460;3.3;1;7mu1
247860;2.68;1;7mua
1979280;4.3;4;7n1h
1908240;4.2;4;7n1i
707160;3.3;3;7n6y
283200;3;3;7n7f
247800;3.35;1;7na6
335280;2.9;2;7ncr
104340;3.1;1;7no0
155520;7.6;3;7no1
244440;4;pT3;7nul
245400;3.9;pT3;7num
386340;3.6;pT3;7nun
285600;3.9;pT3;7nuo
386340;2.8;pT3;7nuq
283620;3.2;4;7oco
283860;3.2;4;7ocw
283860;2.8;4;7od4
282300;3;4;7od6
280200;2.8;4;7od7
282060;3;4;7od8
121560;2.5;1;7odw
282240;3.2;4;7oen
281580;3.1;4;7oev
281580;2.9;4;7oew
391740;1.78;pT3;7oj7
378120;2.63;pT3;7opx
94980;3.84;1;7ott
214980;3;3;7pe1
214020;3.2;3;7pe2
95520;3.84;1;7q5r
6068280;3.07;pT25;7rd1
246720;2.27;1;7rk8
247500;2.32;1;7rk9
247260;2.71;1;7rl1
248580;3.14;1;7rwl
248580;2.43;1;7rwt
979740;4;4;7rwz
1377180;3.3;7d;7ryj
247680;3.09;1;7s1w
381840;3.4;3;7s20
122460;3.4;1;7s21
394080;3.45;3;7s2t
399120;3.12;3;7s4q
6276060;3.72;pT25;7s78
1908240;4.2;4;7sfu
2542200;4;4;7sfv
231600;3.4;3;7sqy
214620;3.1;3;7sqz
6340320;3.38;pT25;7tau
362700;2.96;pT3;7thx
245460;3.25;1;7u94
242520;2.73;1;7u95
242520;2.14;1;7u96
242520;2.66;1;7u97
785880;3.7;3;7v3f
1003560;3.3;3;7v3g
1112400;3.6;3;7v3h
1106700;5.03;7;7vi9
1459500;5.6;7;7vii
2478420;3.4;13;7vrn
2462520;3.8;13;7vrp
382500;2.95;pT3;7vxh
436200;3.19;pT3;7vxz
381720;2.7;pT3;7vy0
439380;3.15;pT3;7vy5
437520;3.02;pT3;7vy6
429840;2.79;pT3;7vyk
419580;2.79;pT3;7vyl
429720;3.68;pT3;7vym
440760;2.2;pT3;7w14
381660;2.5;pT3;7w17
247920;3.87;1;7wjw
292080;3.23;1;7wjx
328080;2.95;pT3;7wl3
251040;2.85;1;7wqo
293460;3.76;1;7wqp
333360;2.81;pT3;7xb2
447060;3.09;pT3;7xxa
374220;3.37;pT3;7xxg
373440;3.33;pT3;7xxj
777960;3.3;3;7z51
73980;4;1;amv
3218160;0;NA;hrtvc1
2505060;0;13;hrtvc2
254280;2.4;pT3;rcmv
